EmployeeID,Age,Gender,Department,Tenure,Location,SelfRatedHealth,ChronicConditions,SickDaysPastYear,StressLevel,Employee_Feedback,CurrentWorkAbility,WorkAbilityPhysical,WorkAbilityMental,Calculated_ABI_Score,Sentiment_Score,At_Risk
EMP00001,60,Male,IT,3,Remote,4,No,4,8.0,I am exhausted every day.,3,4,3,28,-0.4,1
EMP00002,50,F,Finance,5,New York,5,Yes,4,5.0,It pays the bills.,5,1,4,25,0.0,1
EMP00003,36,Female,Sales,17,New York,5,Yes,3,2.0,Love the culture here.,5,4,2,30,0.5,1
EMP00004,64,Female,Marketing,8,Berlin,5,Yes,4,7.0,Average experience.,8,5,5,45,-0.15,0
EMP00005,29,Female,Marketing,17,Tokyo,3,Yes,4,4.0,Love the culture here.,8,5,2,39,0.5,0
EMP00006,42,Female,Operations,9,Berlin,3,No,3,9.0,Extremely stressed and burnt out.,5,1,4,25,-0.125,1
EMP00007,60,female,IT,6,New York,2,No,5,8.0,I am exhausted every day.,6,4,2,32,-0.4,1
EMP00008,40,Male,Marketing,17,Tokyo,2,No,4,3.0,Management is very supportive.,4,3,4,29,0.65,1
EMP00009,44,Male,Operations,8,Tokyo,4,No,1,6.0,It pays the bills.,5,1,5,27,0.0,1
EMP00010,32,Female,Operations,21,Tokyo,4,Yes,5,5.0,It pays the bills.,7,1,5,31,0.0,1
EMP00011,32,Male,IT,7,Remote,4,No,4,10.0,Management expects too much.,6,4,1,30,0.2,1
EMP00012,45,Male,Finance,7,New York,4,Yes,5,4.0,I feel energized at work.,6,5,4,39,0.0,0
EMP00013,57,Male,Finance,15,London,3,Yes,6,5.0,It pays the bills.,5,3,5,33,0.0,1
EMP00014,61,Male,Finance,7,Berlin,3,Yes,0,9.0,Extremely stressed and burnt out.,8,4,4,40,-0.125,0
EMP00015,45,Female,HR,22,Remote,3,No,4,1.0,Excellent benefits.,5,4,3,32,1.0,1
EMP00016,24,Male,Finance,8,Berlin,5,Yes,4,1.0,Love the culture here.,6,3,2,29,0.5,1
EMP00017,43,F,IT,9,London,5,No,3,7.0,It pays the bills.,4,1,1,17,0.0,1
EMP00018,23,Female,HR,15,Tokyo,3,No,5,7.0,Standard corporate environment.,5,1,3,23,0.0,1
EMP00019,45,Female,Finance,2,London,2,No,4,4.0,Love the culture here.,9,2,3,34,0.5,1
EMP00020,51,Female,HR,7,Berlin,3,No,1,5.0,Nothing special to report.,6,3,2,29,0.35714285714285715,1
EMP00021,59,F,IT,15,London,3,No,5,10.0,I need a long break.,3,4,2,26,-0.05,1
EMP00022,23,Male,Finance,18,New York,4,No,6,6.0,Nothing special to report.,7,2,3,30,0.35714285714285715,1
EMP00023,42,F,Sales,22,London,2,Yes,3,4.0,Excellent benefits.,4,2,4,26,1.0,1
EMP00024,54,Female,Marketing,18,New York,3,No,2,3.0,Management is very supportive.,7,2,2,28,0.65,1
EMP00025,33,Female,IT,10,London,3,No,4,7.0,Nothing special to report.,5,1,2,21,0.35714285714285715,1
EMP00026,43,Female,Operations,22,New York,5,No,9,8.0,I need a long break.,5,5,3,35,-0.05,1
EMP00027,46,Male,Operations,18,New York,3,No,8,5.0,Work is okay.,4,2,4,26,0.5,1
EMP00028,48,Female,IT,1,London,4,No,4,7.0,Work is okay.,7,4,1,32,0.5,1
EMP00029,63,Female,Operations,7,Remote,3,No,3,6.0,Nothing special to report.,8,1,2,27,0.35714285714285715,1
EMP00030,49,Male,IT,3,Tokyo,2,Yes,4,9.0,Extremely stressed and burnt out.,7,5,3,39,-0.125,0
EMP00031,37,Female,Sales,14,Tokyo,3,No,2,9.0,Management expects too much.,4,5,5,37,0.2,0
EMP00032,36,Male,IT,12,Tokyo,4,No,10,9.0,I need a long break.,6,2,2,26,-0.05,1
EMP00033,24,Male,Finance,14,New York,4,No,3,8.0,Terrible work-life balance.,5,2,3,26,-1.0,1
EMP00034,58,Male,Finance,4,Tokyo,3,Yes,8,7.0,Standard corporate environment.,9,1,4,33,0.0,1
EMP00035,28,Male,HR,13,New York,3,No,1,4.0,Management is very supportive.,7,2,4,32,0.65,1
EMP00036,42,Female,Operations,16,Remote,4,No,5,9.0,Management expects too much.,7,1,4,29,0.2,1
EMP00037,30,Male,Marketing,16,London,4,No,7,2.0,Love the culture here.,4,5,2,31,0.5,1
EMP00038,60,Other,Operations,22,London,1,No,6,5.0,Nothing special to report.,8,4,5,42,0.35714285714285715,0
EMP00039,39,Female,IT,5,New York,3,No,4,7.0,Average experience.,4,4,1,26,-0.15,1
EMP00040,25,Male,Marketing,20,New York,4,No,8,8.0,Management expects too much.,10,3,4,41,0.2,0
EMP00041,46,Female,Marketing,6,Remote,3,No,6,9.0,Management expects too much.,10,3,4,41,0.2,0
EMP00042,35,F,Operations,6,Tokyo,5,No,4,5.0,It pays the bills.,8,3,3,35,0.0,1
