EmployeeID,Age,Gender,Department,Tenure,Location,SelfRatedHealth,ChronicConditions,SickDaysPastYear,StressLevel,Employee_Feedback,CurrentWorkAbility,WorkAbilityPhysical,WorkAbilityMental,Calculated_ABI_Score
EMP00001,60,Male,IT,3,Remote,4,No,4,8.0,I am exhausted every day.,3,4,3,28
EMP00002,50,F,Finance,5,New York,5,Yes,4,5.0,It pays the bills.,5,1,4,25
EMP00003,36,Female,Sales,17,New York,5,Yes,3,2.0,Love the culture here.,5,4,2,30
EMP00004,64,Female,Marketing,8,Berlin,5,Yes,4,7.0,Average experience.,8,5,5,45
EMP00005,29,Female,Marketing,17,Tokyo,3,Yes,4,4.0,Love the culture here.,8,5,2,39
EMP00006,42,Female,Operations,9,Berlin,3,No,3,9.0,Extremely stressed and burnt out.,5,1,4,25
EMP00007,60,female,IT,6,New York,2,No,5,8.0,I am exhausted every day.,6,4,2,32
EMP00008,40,Male,Marketing,17,Tokyo,2,No,4,3.0,Management is very supportive.,4,3,4,29
EMP00009,44,Male,Operations,8,Tokyo,4,No,1,6.0,It pays the bills.,5,1,5,27
EMP00010,32,Female,Operations,21,Tokyo,4,Yes,5,5.0,It pays the bills.,7,1,5,31
EMP00011,32,Male,IT,7,Remote,4,No,4,10.0,Management expects too much.,6,4,1,30
EMP00012,45,Male,Finance,7,New York,4,Yes,5,4.0,I feel energized at work.,6,5,4,39
EMP00013,57,Male,Finance,15,London,3,Yes,6,5.0,It pays the bills.,5,3,5,33
EMP00014,61,Male,Finance,7,Berlin,3,Yes,0,9.0,Extremely stressed and burnt out.,8,4,4,40
EMP00015,45,Female,HR,22,Remote,3,No,4,1.0,Excellent benefits.,5,4,3,32
EMP00016,24,Male,Finance,8,Berlin,5,Yes,4,1.0,Love the culture here.,6,3,2,29
EMP00017,43,F,IT,9,London,5,No,3,7.0,It pays the bills.,4,1,1,17
EMP00018,23,Female,HR,15,Tokyo,3,No,5,7.0,Standard corporate environment.,5,1,3,23
EMP00019,45,Female,Finance,2,London,2,No,4,4.0,Love the culture here.,9,2,3,34
EMP00020,51,Female,HR,7,Berlin,3,No,1,5.0,Nothing special to report.,6,3,2,29
EMP00021,59,F,IT,15,London,3,No,5,10.0,I need a long break.,3,4,2,26
EMP00022,23,Male,Finance,18,New York,4,No,6,6.0,Nothing special to report.,7,2,3,30
EMP00023,42,F,Sales,22,London,2,Yes,3,4.0,Excellent benefits.,4,2,4,26
EMP00024,54,Female,Marketing,18,New York,3,No,2,3.0,Management is very supportive.,7,2,2,28
EMP00025,33,Female,IT,10,London,3,No,4,7.0,Nothing special to report.,5,1,2,21
EMP00026,43,Female,Operations,22,New York,5,No,9,8.0,I need a long break.,5,5,3,35
EMP00027,46,Male,Operations,18,New York,3,No,8,5.0,Work is okay.,4,2,4,26
EMP00028,48,Female,IT,1,London,4,No,4,7.0,Work is okay.,7,4,1,32
EMP00029,63,Female,Operations,7,Remote,3,No,3,6.0,Nothing special to report.,8,1,2,27
EMP00030,49,Male,IT,3,Tokyo,2,Yes,4,9.0,Extremely stressed and burnt out.,7,5,3,39
EMP00031,37,Female,Sales,14,Tokyo,3,No,2,9.0,Management expects too much.,4,5,5,37
EMP00032,36,Male,IT,12,Tokyo,4,No,10,9.0,I need a long break.,6,2,2,26
EMP00033,24,Male,Finance,14,New York,4,No,3,8.0,Terrible work-life balance.,5,2,3,26
EMP00034,58,Male,Finance,4,Tokyo,3,Yes,8,7.0,Standard corporate environment.,9,1,4,33
EMP00035,28,Male,HR,13,New York,3,No,1,4.0,Management is very supportive.,7,2,4,32
EMP00036,42,Female,Operations,16,Remote,4,No,5,9.0,Management expects too much.,7,1,4,29
EMP00037,30,Male,Marketing,16,London,4,No,7,2.0,Love the culture here.,4,5,2,31
EMP00038,60,Other,Operations,22,London,1,No,6,5.0,Nothing special to report.,8,4,5,42
EMP00039,39,Female,IT,5,New York,3,No,4,7.0,Average experience.,4,4,1,26
EMP00040,25,Male,Marketing,20,New York,4,No,8,8.0,Management expects too much.,10,3,4,41
EMP00041,46,Female,Marketing,6,Remote,3,No,6,9.0,Management expects too much.,10,3,4,41
EMP00042,35,F,Operations,6,Tokyo,5,No,4,5.0,It pays the bills.,8,3,3,35
EMP00043,30,Female,Marketing,18,Remote,4,No,3,5.0,It pays the bills.,4,4,5,34
EMP00044,47,Male,Marketing,6,London,2,No,5,9.0,Terrible work-life balance.,8,2,5,36
EMP00045,23,F,Finance,7,London,4,Yes,2,6.0,Nothing special to report.,5,1,4,25
EMP00046,41,Female,Sales,24,Tokyo,3,No,2,3.0,Great work-life balance.,4,4,4,32
EMP00047,49,Male,IT,24,London,4,No,3,6.0,Work is okay.,4,3,2,25
EMP00048,28,Male,Operations,16,New York,4,No,4,7.0,Work is okay.,5,3,2,27
EMP00049,29,Female,Finance,9,London,3,No,4,4.0,Excellent benefits.,5,2,3,26
EMP00050,56,Male,HR,13,Berlin,4,No,6,4.0,I feel energized at work.,9,3,5,41
EMP00051,35,M,Marketing,12,Tokyo,4,No,3,1.0,I feel energized at work.,8,3,4,37
EMP00052,38,Male,Marketing,19,Tokyo,4,No,5,3.0,Great work-life balance.,5,1,4,25
EMP00053,57,male,Operations,23,Tokyo,3,Yes,4,9.0,I am exhausted every day.,5,2,5,30
EMP00054,61,Female,Sales,23,Berlin,3,No,4,1.0,I feel energized at work.,4,5,5,37
EMP00055,25,Male,Sales,1,Remote,4,No,2,2.0,Great work-life balance.,7,5,5,43
EMP00056,23,Male,Operations,8,New York,5,No,6,2.0,Great work-life balance.,8,3,2,33
EMP00057,27,Female,Operations,4,Tokyo,3,No,8,8.0,Management expects too much.,6,3,2,29
EMP00058,63,Female,Finance,21,London,1,No,5,6.0,Average experience.,7,1,5,31
EMP00059,25,Female,Operations,22,New York,3,No,4,7.0,Average experience.,8,5,4,43
EMP00060,50,Male,HR,19,London,3,No,8,4.0,I feel energized at work.,7,2,3,30
EMP00061,39,Male,Finance,21,New York,4,Yes,4,4.0,I feel energized at work.,10,2,5,40
EMP00062,47,Male,Marketing,5,New York,4,Yes,3,4.0,Great work-life balance.,9,4,5,44
EMP00063,55,Female,Marketing,17,London,5,No,3,6.0,Nothing special to report.,7,4,2,34
EMP00064,31,Male,Marketing,3,London,4,No,1,4.0,Excellent benefits.,9,2,5,38
EMP00065,57,Female,Marketing,19,New York,3,No,7,1.0,I feel energized at work.,4,4,2,28
EMP00066,35,Female,IT,1,Tokyo,4,No,2,6.0,Standard corporate environment.,2,1,3,17
EMP00067,52,male,HR,23,London,4,No,4,8.0,Terrible work-life balance.,10,3,5,43
EMP00068,36,Male,Finance,1,Berlin,5,No,6,5.0,Work is okay.,6,2,5,32
EMP00069,29,Male,Finance,23,Berlin,2,No,5,9.0,Terrible work-life balance.,10,5,2,43
EMP00070,35,Female,Marketing,20,New York,2,Yes,2,8.0,Extremely stressed and burnt out.,8,5,2,39
EMP00071,44,Female,Sales,9,Remote,2,No,3,1.0,Love the culture here.,8,2,5,36
EMP00072,61,Male,Finance,23,New York,3,No,3,8.0,Terrible work-life balance.,5,4,4,34
EMP00073,42,male,HR,5,New York,2,No,8,9.0,Management expects too much.,9,4,5,44
EMP00074,37,M,Operations,7,Tokyo,4,No,6,4.0,Excellent benefits.,9,2,3,34
EMP00075,39,Male,HR,6,Tokyo,4,No,2,7.0,It pays the bills.,10,2,5,40
EMP00076,45,Male,Marketing,17,Remote,3,No,2,4.0,Great work-life balance.,4,2,2,22
EMP00077,47,Female,Marketing,22,Remote,3,No,5,3.0,Excellent benefits.,9,1,2,29
EMP00078,46,Female,IT,17,Remote,5,Yes,3,8.0,Terrible work-life balance.,5,5,1,31
EMP00079,62,Male,Finance,13,Remote,3,No,5,1.0,Management is very supportive.,8,1,2,27
EMP00080,50,Female,Finance,12,Remote,3,Yes,4,2.0,Love the culture here.,6,1,5,29
EMP00081,36,Female,Finance,4,New York,3,No,3,7.0,It pays the bills.,9,3,3,37
EMP00082,22,Male,Marketing,8,New York,3,No,2,6.0,It pays the bills.,7,1,5,31
EMP00083,46,Female,Finance,5,Berlin,2,No,5,8.0,Terrible work-life balance.,7,5,4,41
EMP00084,28,female,Sales,5,Berlin,4,Yes,4,3.0,Management is very supportive.,9,4,3,40
EMP00085,30,Male,Sales,13,London,5,No,5,6.0,Work is okay.,9,5,3,43
EMP00086,45,Male,Operations,11,New York,4,No,2,6.0,It pays the bills.,6,2,3,28
EMP00087,22,Female,Finance,8,Remote,3,Yes,3,2.0,Excellent benefits.,5,2,4,28
EMP00088,29,F,IT,8,London,3,No,3,6.0,Work is okay.,2,2,2,18
EMP00089,45,female,Operations,1,Tokyo,5,No,3,2.0,Love the culture here.,10,1,4,35
EMP00090,32,Female,Marketing,13,New York,4,No,9,5.0,Work is okay.,6,3,4,33
EMP00091,38,Female,Finance,5,Berlin,3,No,4,6.0,Standard corporate environment.,8,4,4,40
EMP00092,29,Female,Sales,21,New York,3,No,6,3.0,Management is very supportive.,5,1,5,27
EMP00093,56,Female,IT,8,New York,4,Yes,2,7.0,Average experience.,2,2,2,18
EMP00094,56,Male,Operations,17,New York,3,No,4,7.0,It pays the bills.,5,5,3,35
EMP00095,54,Male,IT,23,New York,2,No,2,6.0,Average experience.,7,2,2,28
EMP00096,26,Male,Finance,23,Tokyo,3,No,8,8.0,Terrible work-life balance.,9,5,3,43
EMP00097,63,Female,HR,13,Berlin,3,No,3,7.0,Nothing special to report.,7,4,5,40
EMP00098,60,Male,IT,9,New York,3,No,2,8.0,Terrible work-life balance.,3,2,3,22
EMP00099,62,male,IT,2,Tokyo,3,No,1,10.0,Extremely stressed and burnt out.,2,4,3,26
EMP00100,49,Male,Marketing,19,London,1,No,3,4.0,I feel energized at work.,6,2,5,32
EMP00101,28,Male,Sales,20,New York,4,No,1,5.0,Average experience.,4,2,4,26
EMP00102,30,Female,Finance,17,Tokyo,4,No,5,4.0,Great work-life balance.,9,5,2,41
EMP00103,29,Female,IT,7,Remote,2,No,4,10.0,Extremely stressed and burnt out.,5,3,3,29
EMP00104,33,Male,Finance,3,London,5,No,2,1.0,Excellent benefits.,6,5,2,35
EMP00105,55,Male,Sales,19,Berlin,3,No,6,5.0,It pays the bills.,8,1,3,29
EMP00106,54,female,Marketing,19,New York,1,Yes,3,4.0,Excellent benefits.,8,4,2,36
EMP00107,44,Male,Finance,24,New York,3,No,6,3.0,Management is very supportive.,5,4,4,34
EMP00108,45,Male,Sales,9,Tokyo,4,No,5,9.0,I need a long break.,10,3,2,37
EMP00109,58,M,Sales,10,Berlin,3,Yes,3,1.0,I feel energized at work.,9,2,4,36
EMP00110,56,Male,Operations,14,Remote,2,No,6,5.0,Standard corporate environment.,7,4,5,40
EMP00111,61,Female,Marketing,18,London,4,No,8,2.0,Excellent benefits.,5,3,3,29
EMP00112,43,Male,Marketing,15,Berlin,3,No,4,5.0,Nothing special to report.,8,1,5,33
EMP00113,48,Male,Finance,1,New York,4,No,5,5.0,Work is okay.,10,4,3,42
EMP00114,56,Male,HR,6,Tokyo,4,Yes,4,1.0,I feel energized at work.,7,1,4,29
EMP00115,22,Male,Operations,15,Remote,5,No,1,4.0,Excellent benefits.,10,5,5,49
EMP00116,56,Male,Marketing,6,Tokyo,2,No,5,7.0,It pays the bills.,6,4,4,36
EMP00117,58,Male,Sales,18,London,1,No,4,1.0,Love the culture here.,9,4,4,42
EMP00118,35,Female,Marketing,1,Berlin,5,No,3,2.0,Management is very supportive.,5,2,5,30
EMP00119,24,Male,HR,24,Tokyo,4,No,4,4.0,Management is very supportive.,4,1,2,19
EMP00120,22,Female,IT,3,Tokyo,4,No,4,7.0,Nothing special to report.,3,5,3,31
EMP00121,26,F,IT,17,New York,2,No,2,7.0,Nothing special to report.,3,3,1,21
EMP00122,47,Female,Marketing,16,Tokyo,2,No,3,2.0,Love the culture here.,7,5,2,37
EMP00123,35,Male,Marketing,8,Remote,2,No,9,1.0,Management is very supportive.,10,4,5,46
EMP00124,60,female,Operations,17,Berlin,3,Yes,5,2.0,Excellent benefits.,9,1,5,35
EMP00125,48,Male,Marketing,8,London,2,No,4,5.0,It pays the bills.,10,4,3,42
EMP00126,30,Male,HR,17,Tokyo,3,No,2,4.0,I feel energized at work.,9,3,2,35
EMP00127,36,Female,Marketing,9,Remote,3,No,5,5.0,It pays the bills.,9,3,5,41
EMP00128,36,Female,Finance,12,London,1,No,5,1.0,I feel energized at work.,7,4,5,40
EMP00129,47,Female,HR,19,Remote,2,No,4,7.0,Standard corporate environment.,8,4,4,40
EMP00130,63,Male,Operations,4,Tokyo,3,No,4,5.0,Nothing special to report.,8,4,4,40
EMP00131,34,Female,Finance,21,Tokyo,2,No,13,7.0,It pays the bills.,10,1,5,37
EMP00132,53,Male,Finance,22,Berlin,2,No,1,9.0,I need a long break.,7,2,4,32
EMP00133,60,male,IT,11,New York,3,No,6,6.0,Work is okay.,7,3,3,33
EMP00134,53,Male,HR,4,Remote,3,No,4,8.0,Extremely stressed and burnt out.,10,1,4,35
EMP00135,25,F,Finance,14,New York,4,No,3,4.0,Excellent benefits.,8,3,4,37
EMP00136,51,Female,Operations,14,New York,2,No,5,9.0,Management expects too much.,5,4,2,30
EMP00137,58,M,IT,6,London,4,Yes,10,10.0,I am exhausted every day.,4,3,1,23
EMP00138,44,Female,Finance,17,London,4,No,3,2.0,Excellent benefits.,5,5,4,37
EMP00139,60,Female,HR,2,Remote,4,No,3,9.0,I need a long break.,8,3,3,35
EMP00140,36,Male,IT,8,New York,1,Yes,5,10.0,Terrible work-life balance.,6,5,2,35
EMP00141,64,Male,HR,4,Berlin,3,No,5,3.0,Great work-life balance.,4,1,4,23
EMP00142,50,Male,HR,10,New York,4,No,4,1.0,I feel energized at work.,5,1,4,25
EMP00143,57,F,HR,7,London,5,No,2,6.0,Nothing special to report.,4,5,5,37
EMP00144,34,M,IT,4,New York,5,No,4,7.0,Work is okay.,4,3,3,27
EMP00145,53,Female,Finance,16,Tokyo,3,No,3,5.0,Standard corporate environment.,9,1,2,29
EMP00146,28,Male,Marketing,14,Tokyo,4,Yes,4,8.0,I need a long break.,6,3,5,35
EMP00147,43,Male,Sales,16,Berlin,4,No,3,1.0,Excellent benefits.,4,2,4,26
EMP00148,49,Female,Finance,9,Remote,4,No,2,1.0,I feel energized at work.,5,2,4,28
EMP00149,23,Female,IT,4,New York,3,No,4,7.0,Work is okay.,7,5,2,37
EMP00150,63,Female,Sales,24,Tokyo,3,No,8,1.0,I feel energized at work.,5,5,4,37
EMP00151,27,Other,Sales,6,Remote,2,Yes,5,9.0,Management expects too much.,7,3,5,37
EMP00152,49,Male,Sales,1,Tokyo,3,No,2,7.0,Work is okay.,6,2,3,28
EMP00153,49,Female,Marketing,7,Remote,4,No,4,7.0,Nothing special to report.,10,2,5,40
EMP00154,41,Female,Operations,1,Remote,5,No,4,8.0,Extremely stressed and burnt out.,7,5,2,37
EMP00155,51,Male,IT,19,Tokyo,4,Yes,0,10.0,I am exhausted every day.,5,4,1,28
EMP00156,32,Male,Marketing,8,London,3,No,2,1.0,I feel energized at work.,7,3,3,33
EMP00157,49,Male,Marketing,3,Remote,4,Yes,2,4.0,Great work-life balance.,6,3,5,35
EMP00158,46,F,Operations,1,New York,3,No,6,9.0,I am exhausted every day.,8,1,5,33
EMP00159,60,Female,Sales,1,Tokyo,4,No,2,3.0,Management is very supportive.,7,5,2,37
EMP00160,54,Female,Operations,7,London,4,No,2,6.0,It pays the bills.,6,1,4,27
EMP00161,22,male,Operations,21,Tokyo,3,No,2,4.0,Excellent benefits.,7,4,3,36
EMP00162,48,Female,Marketing,13,Berlin,3,No,7,1.0,Excellent benefits.,10,1,3,33
EMP00163,34,Male,IT,1,New York,2,Yes,4,8.0,Extremely stressed and burnt out.,6,4,2,32
EMP00164,62,Female,HR,16,Berlin,2,No,5,3.0,Excellent benefits.,8,1,5,33
EMP00165,24,Female,Operations,22,Remote,4,No,2,3.0,I feel energized at work.,8,5,5,45
EMP00166,60,Female,Operations,22,Remote,1,No,1,6.0,Standard corporate environment.,6,4,4,36
EMP00167,27,Female,Sales,14,Berlin,2,Yes,5,9.0,I am exhausted every day.,9,3,3,37
EMP00168,29,Female,Sales,4,Berlin,3,No,3,7.0,Average experience.,4,5,3,33
EMP00169,48,Male,Marketing,23,Remote,4,No,2,7.0,Nothing special to report.,6,5,3,37
EMP00170,30,M,Sales,23,London,3,No,4,1.0,I feel energized at work.,4,2,3,24
EMP00171,58,Male,Finance,12,New York,2,No,4,9.0,Terrible work-life balance.,6,3,3,31
EMP00172,54,Male,Operations,12,Tokyo,4,No,3,4.0,Excellent benefits.,4,1,4,23
EMP00173,63,Male,Sales,17,Berlin,3,No,5,8.0,I need a long break.,7,5,3,39
EMP00174,45,Male,IT,21,New York,3,Yes,2,9.0,Extremely stressed and burnt out.,2,1,2,15
EMP00175,36,Male,Finance,15,Tokyo,4,No,1,1.0,Management is very supportive.,5,5,4,37
EMP00176,53,M,Marketing,10,Tokyo,3,No,3,8.0,Management expects too much.,10,3,4,41
EMP00177,53,female,HR,3,Berlin,4,No,5,9.0,Management expects too much.,7,5,5,43
EMP00178,45,Male,Operations,23,London,3,No,3,5.0,It pays the bills.,4,1,3,21
EMP00179,62,Male,Operations,20,London,3,No,4,7.0,Nothing special to report.,8,1,4,31
EMP00180,33,Male,IT,20,New York,3,No,7,8.0,I need a long break.,6,3,3,31
EMP00181,60,Male,HR,12,New York,4,No,6,2.0,Management is very supportive.,10,1,3,33
EMP00182,23,Male,HR,1,Remote,3,No,5,1.0,Management is very supportive.,8,4,3,38
EMP00183,24,male,Marketing,1,London,2,Yes,2,6.0,Average experience.,7,5,4,41
EMP00184,58,Male,Marketing,10,New York,3,No,4,9.0,I need a long break.,9,4,3,40
EMP00185,38,Female,Finance,18,Remote,3,Yes,4,1.0,Management is very supportive.,9,2,3,34
